ta,specID,contingency,study,noswitches,ids,order,order_exact,order_first,order_second,order_third,m1_BIC,m2_BIC,m3_BIC,m1m1_diff,m1m2_diff,m1m3_diff,m2m1_diff,m2m2_diff,m2m3_diff,m3m1_diff,m3m2_diff,m3m3_diff,MF_diff,MF_diff_w
45,ss12_bl7525,75/25,3,0,ss12,2,60_75_90,60,75,90,-205.999361462698,-201.72632922883,-199.813065959293,0,-4.27303223386846,-6.1862955034052,4.27303223386846,0,-1.91326326953674,6.1862955034052,1.91326326953674,0,-5.22966386863683,-4.80406439368329
45,ss12_bl9010,90/10,3,0,ss12,3,60_75_90,60,75,90,-130.100089346028,-149.617817982942,-125.993158500566,0,19.5177286369133,-4.10693084546227,-19.5177286369133,0,-23.6246594823755,4.10693084546227,23.6246594823755,0,7.70539889572549,19.5175535181372
27,ss13_bl6040,60/40,3,27,ss13,3,75_90_60,75,90,60,-85.7872724070873,-98.9733908898714,-104.647098127153,0,13.186118482784,18.8598257200656,-13.186118482784,0,5.67370723728152,-18.8598257200656,-5.67370723728152,0,16.0229721014248,18.5457017005554
27,ss13_bl7525,75/25,3,0,ss13,1,75_90_60,75,90,60,-139.947886308782,-118.240754005504,-135.720407322636,0,-21.7071323032779,-4.22747898614628,21.7071323032779,0,17.4796533171316,4.22747898614628,-17.4796533171316,0,-12.9673056447121,-4.23027670975185
27,ss13_bl9010,90/10,3,1,ss13,2,75_90_60,75,90,60,-82.0611170796276,-90.5196809787916,-86.1288566382551,0,8.45856389916408,4.06773955862757,-8.45856389916408,0,-4.39082434053651,-4.06773955862757,4.39082434053651,0,6.26315172889582,8.01876472920353
44,ss14_bl6040,60/40,3,42,ss14,2,75_60_90,75,60,90,-18.8533899542595,-37.4253241795134,-18.6729529418834,0,18.5719342252539,-0.180437012376078,-18.5719342252539,0,-18.7523712376299,0.180437012376078,18.7523712376299,0,9.19574860643889,18.5703457014552
44,ss14_bl7525,75/25,3,24,ss14,1,75_60_90,75,60,90,-12.5321986994238,-22.2277903688595,-24.1304279373393,0,9.69559166943577,11.5982292379155,-9.69559166943577,0,1.90263756847971,-11.5982292379155,-1.90263756847971,0,10.6469104536756,11.0681169652081
44,ss14_bl9010,90/10,3,14,ss14,3,75_60_90,75,60,90,-112.498464779938,-128.01341754821,-136.455097639192,0,15.5149527682722,23.9566328592546,-15.5149527682722,0,8.4416800909824,-23.9566328592546,-8.4416800909824,0,19.7357928137634,23.8344502060667
37,ss15_bl6040,60/40,3,3,ss15,2,90_60_75,90,60,75,-78.0553817333147,-95.6749206755689,-91.1572986630835,0,17.6195389422542,13.1019169297689,-17.6195389422542,0,-4.51762201248532,-13.1019169297689,4.51762201248532,0,15.3607279360115,17.192207360389
37,ss15_bl7525,75/25,3,1,ss15,3,90_60_75,90,60,75,-166.880873996551,-205.773848083165,-202.117370181201,0,38.8929740866137,35.2364961846494,-38.8929740866137,0,-3.65647790196431,-35.2364961846494,3.65647790196431,0,37.0647351356316,38.3867413104173
37,ss15_bl9010,90/10,3,9,ss15,1,90_60_75,90,60,75,-104.826729633722,-131.726598470123,-133.221120171819,0,26.8998688364006,28.3943905380968,-26.8998688364006,0,1.49452170169619,-28.3943905380968,-1.49452170169619,0,27.6471296872487,27.9140237035741
30,ss16_bl6040,60/40,3,0,ss16,3,75_90_60,75,90,60,-244.926926249604,-296.930179045303,-240.534297788406,0,52.0032527956986,-4.39262846119851,-52.0032527956986,0,-56.3958812568972,4.39262846119851,56.3958812568972,0,23.8053121672501,52.0032527956666
30,ss16_bl7525,75/25,3,0,ss16,1,75_90_60,75,90,60,-259.633519462042,-267.999329984915,-255.043808980558,0,8.36581052287374,-4.58971048148371,-8.36581052287374,0,-12.9555210043575,4.58971048148371,12.9555210043575,0,1.888050020695,8.34592522342962
30,ss16_bl9010,90/10,3,24,ss16,2,75_90_60,75,90,60,-288.111657849048,-284.528644328237,-267.807382194165,0,-3.58301352081162,-20.3042756548833,3.58301352081162,0,-16.7212621340717,20.3042756548833,16.7212621340717,0,-11.9436445878474,-3.58692365398809
49,ss17_bl6040,60/40,3,60,ss17,2,75_60_90,75,60,90,-58.4468325325354,-61.3660387978074,-77.1421853220227,0,2.91920626527205,18.6953527894873,-2.91920626527205,0,15.7761465242153,-18.6953527894873,-15.7761465242153,0,10.8072795273797,18.689435929024
49,ss17_bl7525,75/25,3,42,ss17,1,75_60_90,75,60,90,-69.1255368291403,-121.004395934465,-148.680369943985,0,51.8788591053249,79.5548331148442,-51.8788591053249,0,27.6759740095193,-79.5548331148442,-27.6759740095193,0,65.7168461100846,79.5548060540155
49,ss17_bl9010,90/10,3,50,ss17,3,75_60_90,75,60,90,-124.633086515825,-146.639195768292,-236.151752279928,0,22.0061092524665,111.518665764103,-22.0061092524665,0,89.5125565116368,-111.518665764103,-89.5125565116368,0,66.7623875082849,111.518665764103
34,ss18_bl6040,60/40,3,1,ss18,2,75_60_90,75,60,90,19.6072406491499,23.278473517682,20.9397258305612,0,-3.67123286853214,-1.33248518141133,3.67123286853214,0,2.33874768712081,1.33248518141133,-2.33874768712081,0,-2.50185902497174,-1.88669397282324
34,ss18_bl7525,75/25,3,0,ss18,1,75_60_90,75,60,90,-7.94586497547302,-3.41324489756552,-3.41317977901091,0,-4.5326200779075,-4.53268519646211,4.5326200779075,0,-6.51185546125532e-05,4.53268519646211,6.51185546125532e-05,0,-4.53265263718481,-4.53265263665476
34,ss18_bl9010,90/10,3,3,ss18,3,75_60_90,75,60,90,5.56189787640608,7.56480510507592,6.24026988657603,0,-2.00290722866983,-0.678372010169952,2.00290722866983,0,1.32453521849988,0.678372010169952,-1.32453521849988,0,-1.34063961941989,-1.12901916889407
34,ss19_bl6040,60/40,3,16,ss19,2,75_60_90,75,60,90,15.4199657816182,13.0366364501938,17.7917442813644,0,2.38332933142439,-2.37177849974618,-2.38332933142439,0,-4.75510783117057,2.37177849974618,4.75510783117057,0,0.00577541583910879,1.97961870377027
34,ss19_bl7525,75/25,3,14,ss19,1,75_60_90,75,60,90,-19.3952079857894,-13.8750256962381,-35.9985997584338,0,-5.52018228955139,16.6033917726443,5.52018228955139,0,22.1235740621957,-16.6033917726443,-22.1235740621957,0,5.54160474154646,16.6030444161667
34,ss19_bl9010,90/10,3,4,ss19,3,75_60_90,75,60,90,-55.8117610152341,-70.8719128264668,-60.7190037656355,0,15.0601518112326,4.90724275040137,-15.0601518112326,0,-10.1529090608312,-4.90724275040137,10.1529090608312,0,9.98369728081698,14.9971704757756
29,ss20_bl6040,60/40,3,1,ss20,1,60_90_75,60,90,75,-181.266246694939,-180.466955006038,-179.796897922659,0,-0.799291688901832,-1.46934877227989,0.799291688901832,0,-0.670057083378055,1.46934877227989,0.670057083378055,0,-1.13432023059084,-1.07871729029881
29,ss20_bl7525,75/25,3,20,ss20,3,60_90_75,60,90,75,-428.350003874813,-423.5685420249,-392.325213036474,0,-4.78146184991357,-36.0247908383393,4.78146184991357,0,-31.2433289884257,36.0247908383393,31.2433289884257,0,-20.4031263441265,-4.78146698271593
29,ss20_bl9010,90/10,3,14,ss20,2,60_90_75,60,90,75,-391.890782203553,-387.902395900765,-370.052525119594,0,-3.98838630278789,-21.8382570839591,3.98838630278789,0,-17.8498707811712,21.8382570839591,17.8498707811712,0,-12.9133216933735,-3.99076055643968
50,ss21_bl6040,60/40,3,2,ss21,1,60_90_75,60,90,75,-69.9496562359948,-66.9589233738398,-76.6743682721507,0,-2.99073286215503,6.72471203615582,2.99073286215503,0,9.71544489831085,-6.72471203615582,-9.71544489831085,0,1.8669895870004,6.64982269541107
50,ss21_bl7525,75/25,3,28,ss21,3,60_90_75,60,90,75,-91.1494928401175,-86.4045076730429,-112.000361575709,0,-4.74498516707453,20.8508687355912,4.74498516707453,0,25.5958539026657,-20.8508687355912,-25.5958539026657,0,8.05294178425832,20.8507979248131
50,ss21_bl9010,90/10,3,9,ss21,2,60_90_75,60,90,75,-152.457895885753,-194.492998121755,-199.239746589924,0,42.0351022360018,46.7818507041709,-42.0351022360018,0,4.74674846816905,-46.7818507041709,-4.74674846816905,0,44.4084764700864,46.3773057052952
52,ss22_bl6040,60/40,3,1,ss22,2,75_60_90,75,60,90,-48.5130251363013,-69.2981814811721,-65.8321447129247,0,20.7851563448709,17.3191195766235,-20.7851563448709,0,-3.46603676824739,-17.3191195766235,3.46603676824739,0,19.0521379607472,20.2645510285443
